Picture Number:    0	 QP:    8  [ PSNR-Y: 44.98 dB,	PSNR-U: 48.28 dB,	PSNR-V: 48.89 dB,	MSE-Y: 2.07,	MSE-U: 0.97,	MSE-V: 0.84,	SSIM-Y: 0.99250,	SSIM-U: 0.99179,	SSIM-V: 0.99226 ]	   4893 bytes
Picture Number:    1	 QP:   37  [ PSNR-Y: 45.44 dB,	PSNR-U: 48.20 dB,	PSNR-V: 48.74 dB,	MSE-Y: 1.86,	MSE-U: 0.99,	MSE-V: 0.87,	SSIM-Y: 0.99269,	SSIM-U: 0.99179,	SSIM-V: 0.99202 ]	    502 bytes
Picture Number:    2	 QP:   35  [ PSNR-Y: 45.59 dB,	PSNR-U: 48.20 dB,	PSNR-V: 48.80 dB,	MSE-Y: 1.79,	MSE-U: 0.98,	MSE-V: 0.86,	SSIM-Y: 0.99277,	SSIM-U: 0.99184,	SSIM-V: 0.99219 ]	      5 bytes
Picture Number:    3	 QP:   37  [ PSNR-Y: 45.91 dB,	PSNR-U: 48.21 dB,	PSNR-V: 48.75 dB,	MSE-Y: 1.67,	MSE-U: 0.98,	MSE-V: 0.87,	SSIM-Y: 0.99279,	SSIM-U: 0.99178,	SSIM-V: 0.99205 ]	     23 bytes
Picture Number:    4	 QP:   33  [ PSNR-Y: 45.59 dB,	PSNR-U: 48.14 dB,	PSNR-V: 48.69 dB,	MSE-Y: 1.80,	MSE-U: 1.00,	MSE-V: 0.88,	SSIM-Y: 0.99270,	SSIM-U: 0.99167,	SSIM-V: 0.99192 ]	      5 bytes
Picture Number:    5	 QP:   37  [ PSNR-Y: 45.28 dB,	PSNR-U: 48.04 dB,	PSNR-V: 48.67 dB,	MSE-Y: 1.93,	MSE-U: 1.02,	MSE-V: 0.88,	SSIM-Y: 0.99235,	SSIM-U: 0.99136,	SSIM-V: 0.99193 ]	     84 bytes
Picture Number:    6	 QP:   35  [ PSNR-Y: 45.28 dB,	PSNR-U: 48.08 dB,	PSNR-V: 48.61 dB,	MSE-Y: 1.93,	MSE-U: 1.01,	MSE-V: 0.89,	SSIM-Y: 0.99240,	SSIM-U: 0.99145,	SSIM-V: 0.99178 ]	      5 bytes
Picture Number:    7	 QP:   37  [ PSNR-Y: 44.14 dB,	PSNR-U: 48.20 dB,	PSNR-V: 48.74 dB,	MSE-Y: 2.51,	MSE-U: 0.98,	MSE-V: 0.87,	SSIM-Y: 0.99208,	SSIM-U: 0.99178,	SSIM-V: 0.99195 ]	     28 bytes
Picture Number:    8	 QP:   28  [ PSNR-Y: 45.02 dB,	PSNR-U: 48.08 dB,	PSNR-V: 48.69 dB,	MSE-Y: 2.05,	MSE-U: 1.01,	MSE-V: 0.88,	SSIM-Y: 0.99239,	SSIM-U: 0.99160,	SSIM-V: 0.99195 ]	      5 bytes
Picture Number:    9	 QP:   37  [ PSNR-Y: 44.29 dB,	PSNR-U: 48.11 dB,	PSNR-V: 48.63 dB,	MSE-Y: 2.42,	MSE-U: 1.00,	MSE-V: 0.89,	SSIM-Y: 0.99192,	SSIM-U: 0.99170,	SSIM-V: 0.99189 ]	     97 bytes
Picture Number:   10	 QP:   35  [ PSNR-Y: 43.54 dB,	PSNR-U: 48.11 dB,	PSNR-V: 48.54 dB,	MSE-Y: 2.88,	MSE-U: 1.01,	MSE-V: 0.91,	SSIM-Y: 0.99154,	SSIM-U: 0.99165,	SSIM-V: 0.99174 ]	      5 bytes
Picture Number:   11	 QP:   37  [ PSNR-Y: 42.97 dB,	PSNR-U: 48.07 dB,	PSNR-V: 48.51 dB,	MSE-Y: 3.28,	MSE-U: 1.01,	MSE-V: 0.92,	SSIM-Y: 0.99104,	SSIM-U: 0.99156,	SSIM-V: 0.99165 ]	     23 bytes
Picture Number:   12	 QP:   33  [ PSNR-Y: 42.68 dB,	PSNR-U: 48.06 dB,	PSNR-V: 48.47 dB,	MSE-Y: 3.51,	MSE-U: 1.02,	MSE-V: 0.92,	SSIM-Y: 0.99094,	SSIM-U: 0.99164,	SSIM-V: 0.99157 ]	      5 bytes
Picture Number:   13	 QP:   37  [ PSNR-Y: 42.78 dB,	PSNR-U: 47.95 dB,	PSNR-V: 48.39 dB,	MSE-Y: 3.43,	MSE-U: 1.04,	MSE-V: 0.94,	SSIM-Y: 0.99096,	SSIM-U: 0.99148,	SSIM-V: 0.99143 ]	     60 bytes
