Picture Number:    0	 QP:   16  [ PSNR-Y: 34.91 dB,	PSNR-U: 44.22 dB,	PSNR-V: 45.38 dB,	MSE-Y: 20.98,	MSE-U: 2.46,	MSE-V: 1.88,	SSIM-Y: 0.95837,	SSIM-U: 0.97227,	SSIM-V: 0.98184 ]	   3791 bytes
Picture Number:    1	 QP:   37  [ PSNR-Y: 36.51 dB,	PSNR-U: 43.83 dB,	PSNR-V: 45.03 dB,	MSE-Y: 14.51,	MSE-U: 2.69,	MSE-V: 2.04,	SSIM-Y: 0.96638,	SSIM-U: 0.97058,	SSIM-V: 0.98041 ]	   4124 bytes
Picture Number:    2	 QP:   35  [ PSNR-Y: 37.42 dB,	PSNR-U: 43.31 dB,	PSNR-V: 44.19 dB,	MSE-Y: 11.77,	MSE-U: 3.03,	MSE-V: 2.48,	SSIM-Y: 0.96985,	SSIM-U: 0.96681,	SSIM-V: 0.97675 ]	      5 bytes
Picture Number:    3	 QP:   37  [ PSNR-Y: 36.85 dB,	PSNR-U: 43.05 dB,	PSNR-V: 43.98 dB,	MSE-Y: 13.43,	MSE-U: 3.22,	MSE-V: 2.60,	SSIM-Y: 0.96541,	SSIM-U: 0.96459,	SSIM-V: 0.97508 ]	     99 bytes
Picture Number:    4	 QP:   33  [ PSNR-Y: 37.75 dB,	PSNR-U: 42.90 dB,	PSNR-V: 43.57 dB,	MSE-Y: 10.91,	MSE-U: 3.33,	MSE-V: 2.86,	SSIM-Y: 0.97093,	SSIM-U: 0.96435,	SSIM-V: 0.97377 ]	      5 bytes
Picture Number:    5	 QP:   37  [ PSNR-Y: 36.68 dB,	PSNR-U: 42.84 dB,	PSNR-V: 43.74 dB,	MSE-Y: 13.97,	MSE-U: 3.38,	MSE-V: 2.75,	SSIM-Y: 0.96554,	SSIM-U: 0.96384,	SSIM-V: 0.97488 ]	    395 bytes
Picture Number:    6	 QP:   35  [ PSNR-Y: 36.91 dB,	PSNR-U: 42.79 dB,	PSNR-V: 43.63 dB,	MSE-Y: 13.24,	MSE-U: 3.42,	MSE-V: 2.82,	SSIM-Y: 0.96670,	SSIM-U: 0.96323,	SSIM-V: 0.97429 ]	      5 bytes
Picture Number:    7	 QP:   37  [ PSNR-Y: 37.07 dB,	PSNR-U: 42.71 dB,	PSNR-V: 43.69 dB,	MSE-Y: 12.76,	MSE-U: 3.49,	MSE-V: 2.78,	SSIM-Y: 0.96950,	SSIM-U: 0.96277,	SSIM-V: 0.97505 ]	     73 bytes
Picture Number:    8	 QP:   28  [ PSNR-Y: 38.32 dB,	PSNR-U: 42.60 dB,	PSNR-V: 43.72 dB,	MSE-Y: 9.58,	MSE-U: 3.57,	MSE-V: 2.76,	SSIM-Y: 0.97346,	SSIM-U: 0.96216,	SSIM-V: 0.97506 ]	      5 bytes
Picture Number:    9	 QP:   37  [ PSNR-Y: 36.69 dB,	PSNR-U: 42.27 dB,	PSNR-V: 43.56 dB,	MSE-Y: 13.93,	MSE-U: 3.85,	MSE-V: 2.86,	SSIM-Y: 0.96778,	SSIM-U: 0.95988,	SSIM-V: 0.97429 ]	   1169 bytes
Picture Number:   10	 QP:   35  [ PSNR-Y: 36.66 dB,	PSNR-U: 42.11 dB,	PSNR-V: 43.29 dB,	MSE-Y: 14.03,	MSE-U: 4.00,	MSE-V: 3.05,	SSIM-Y: 0.96746,	SSIM-U: 0.95873,	SSIM-V: 0.97313 ]	      5 bytes
Picture Number:   11	 QP:   37  [ PSNR-Y: 35.79 dB,	PSNR-U: 42.18 dB,	PSNR-V: 43.36 dB,	MSE-Y: 17.13,	MSE-U: 3.94,	MSE-V: 3.00,	SSIM-Y: 0.96149,	SSIM-U: 0.95977,	SSIM-V: 0.97342 ]	    135 bytes
Picture Number:   12	 QP:   33  [ PSNR-Y: 36.97 dB,	PSNR-U: 42.37 dB,	PSNR-V: 43.12 dB,	MSE-Y: 13.05,	MSE-U: 3.76,	MSE-V: 3.17,	SSIM-Y: 0.96854,	SSIM-U: 0.95965,	SSIM-V: 0.97244 ]	      5 bytes
