encoder, qp_value, video_name, psnr_value, br_value, time
AOM,22,foreman,42.903,317922.0,4561.0
AOM,27,foreman,41.526,249158.0,4226.0
AOM,32,foreman,40.181,197610.0,3775.0
AOM,37,foreman,38.819,154309.0,2935.0
AOM,22,akiyo,47.793,209454.0,999.0
AOM,27,akiyo,46.555,177614.0,955.0
AOM,32,akiyo,44.866,145438.0,909.0
AOM,37,akiyo,43.084,118729.0,849.0
AOM,22,flower,41.244,2301698.0,26419.0
AOM,27,flower,39.658,1895112.0,24963.0
AOM,32,flower,37.977,1543432.0,23433.0
AOM,37,flower,36.241,1245602.0,21318.0
AOM,22,carphone,42.659,306029.0,4431.0
AOM,27,carphone,41.398,243404.0,3747.0
AOM,32,carphone,40.131,193582.0,3214.0
AOM,37,carphone,38.86,153158.0,2707.0
