Picture Number:    0	 QP:    3  [ PSNR-Y: 47.68 dB,	PSNR-U: 51.80 dB,	PSNR-V: 52.02 dB,	MSE-Y: 1.11,	MSE-U: 0.43,	MSE-V: 0.41,	SSIM-Y: 0.99593,	SSIM-U: 0.99594,	SSIM-V: 0.99595 ]	   8331 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 48.40 dB,	PSNR-U: 51.08 dB,	PSNR-V: 51.38 dB,	MSE-Y: 0.94,	MSE-U: 0.51,	MSE-V: 0.47,	SSIM-Y: 0.99608,	SSIM-U: 0.99529,	SSIM-V: 0.99531 ]	   1080 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 48.65 dB,	PSNR-U: 51.00 dB,	PSNR-V: 51.46 dB,	MSE-Y: 0.89,	MSE-U: 0.52,	MSE-V: 0.46,	SSIM-Y: 0.99614,	SSIM-U: 0.99520,	SSIM-V: 0.99541 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 49.16 dB,	PSNR-U: 51.03 dB,	PSNR-V: 51.39 dB,	MSE-Y: 0.79,	MSE-U: 0.51,	MSE-V: 0.47,	SSIM-Y: 0.99621,	SSIM-U: 0.99517,	SSIM-V: 0.99536 ]	     22 bytes
Picture Number:    4	 QP:   19  [ PSNR-Y: 49.18 dB,	PSNR-U: 50.90 dB,	PSNR-V: 51.27 dB,	MSE-Y: 0.78,	MSE-U: 0.53,	MSE-V: 0.49,	SSIM-Y: 0.99622,	SSIM-U: 0.99502,	SSIM-V: 0.99519 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 49.11 dB,	PSNR-U: 50.69 dB,	PSNR-V: 50.93 dB,	MSE-Y: 0.80,	MSE-U: 0.55,	MSE-V: 0.52,	SSIM-Y: 0.99615,	SSIM-U: 0.99469,	SSIM-V: 0.99471 ]	    114 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 49.08 dB,	PSNR-U: 50.68 dB,	PSNR-V: 50.84 dB,	MSE-Y: 0.80,	MSE-U: 0.56,	MSE-V: 0.54,	SSIM-Y: 0.99618,	SSIM-U: 0.99470,	SSIM-V: 0.99454 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 48.23 dB,	PSNR-U: 50.94 dB,	PSNR-V: 51.13 dB,	MSE-Y: 0.98,	MSE-U: 0.52,	MSE-V: 0.50,	SSIM-Y: 0.99603,	SSIM-U: 0.99509,	SSIM-V: 0.99502 ]	     48 bytes
Picture Number:    8	 QP:   16  [ PSNR-Y: 48.47 dB,	PSNR-U: 50.90 dB,	PSNR-V: 51.23 dB,	MSE-Y: 0.92,	MSE-U: 0.53,	MSE-V: 0.49,	SSIM-Y: 0.99604,	SSIM-U: 0.99501,	SSIM-V: 0.99519 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 47.82 dB,	PSNR-U: 50.77 dB,	PSNR-V: 51.22 dB,	MSE-Y: 1.07,	MSE-U: 0.54,	MSE-V: 0.49,	SSIM-Y: 0.99579,	SSIM-U: 0.99497,	SSIM-V: 0.99526 ]	    282 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 47.34 dB,	PSNR-U: 50.86 dB,	PSNR-V: 51.13 dB,	MSE-Y: 1.20,	MSE-U: 0.53,	MSE-V: 0.50,	SSIM-Y: 0.99572,	SSIM-U: 0.99504,	SSIM-V: 0.99518 ]	      5 bytes
Picture Number:   11	 QP:   22  [ PSNR-Y: 46.97 dB,	PSNR-U: 50.71 dB,	PSNR-V: 50.91 dB,	MSE-Y: 1.31,	MSE-U: 0.55,	MSE-V: 0.53,	SSIM-Y: 0.99555,	SSIM-U: 0.99490,	SSIM-V: 0.99493 ]	     26 bytes
Picture Number:   12	 QP:   19  [ PSNR-Y: 46.97 dB,	PSNR-U: 50.63 dB,	PSNR-V: 50.89 dB,	MSE-Y: 1.31,	MSE-U: 0.56,	MSE-V: 0.53,	SSIM-Y: 0.99554,	SSIM-U: 0.99472,	SSIM-V: 0.99490 ]	      5 bytes
Picture Number:   13	 QP:   22  [ PSNR-Y: 46.26 dB,	PSNR-U: 50.53 dB,	PSNR-V: 50.84 dB,	MSE-Y: 1.54,	MSE-U: 0.58,	MSE-V: 0.54,	SSIM-Y: 0.99529,	SSIM-U: 0.99471,	SSIM-V: 0.99490 ]	     97 bytes
Picture Number:   14	 QP:   21  [ PSNR-Y: 46.46 dB,	PSNR-U: 50.44 dB,	PSNR-V: 50.99 dB,	MSE-Y: 1.47,	MSE-U: 0.59,	MSE-V: 0.52,	SSIM-Y: 0.99526,	SSIM-U: 0.99463,	SSIM-V: 0.99507 ]	      5 bytes
Picture Number:   15	 QP:   22  [ PSNR-Y: 46.07 dB,	PSNR-U: 50.47 dB,	PSNR-V: 50.80 dB,	MSE-Y: 1.61,	MSE-U: 0.58,	MSE-V: 0.54,	SSIM-Y: 0.99507,	SSIM-U: 0.99488,	SSIM-V: 0.99487 ]	     28 bytes
Picture Number:   16	 QP:    9  [ PSNR-Y: 46.76 dB,	PSNR-U: 50.41 dB,	PSNR-V: 50.94 dB,	MSE-Y: 1.37,	MSE-U: 0.59,	MSE-V: 0.52,	SSIM-Y: 0.99506,	SSIM-U: 0.99474,	SSIM-V: 0.99498 ]	      5 bytes
Picture Number:   17	 QP:   22  [ PSNR-Y: 45.32 dB,	PSNR-U: 50.30 dB,	PSNR-V: 50.59 dB,	MSE-Y: 1.91,	MSE-U: 0.61,	MSE-V: 0.57,	SSIM-Y: 0.99436,	SSIM-U: 0.99480,	SSIM-V: 0.99469 ]	   2633 bytes
Picture Number:   18	 QP:   21  [ PSNR-Y: 45.01 dB,	PSNR-U: 50.01 dB,	PSNR-V: 50.73 dB,	MSE-Y: 2.05,	MSE-U: 0.65,	MSE-V: 0.55,	SSIM-Y: 0.99386,	SSIM-U: 0.99450,	SSIM-V: 0.99484 ]	      5 bytes
Picture Number:   19	 QP:   22  [ PSNR-Y: 44.37 dB,	PSNR-U: 49.78 dB,	PSNR-V: 50.26 dB,	MSE-Y: 2.38,	MSE-U: 0.68,	MSE-V: 0.61,	SSIM-Y: 0.99344,	SSIM-U: 0.99438,	SSIM-V: 0.99448 ]	     26 bytes
Picture Number:   20	 QP:   19  [ PSNR-Y: 44.42 dB,	PSNR-U: 49.43 dB,	PSNR-V: 50.31 dB,	MSE-Y: 2.35,	MSE-U: 0.74,	MSE-V: 0.61,	SSIM-Y: 0.99321,	SSIM-U: 0.99426,	SSIM-V: 0.99454 ]	      5 bytes
Picture Number:   21	 QP:   22  [ PSNR-Y: 44.25 dB,	PSNR-U: 49.29 dB,	PSNR-V: 49.98 dB,	MSE-Y: 2.44,	MSE-U: 0.77,	MSE-V: 0.65,	SSIM-Y: 0.99303,	SSIM-U: 0.99421,	SSIM-V: 0.99427 ]	    119 bytes
Picture Number:   22	 QP:   21  [ PSNR-Y: 44.32 dB,	PSNR-U: 48.91 dB,	PSNR-V: 50.04 dB,	MSE-Y: 2.40,	MSE-U: 0.84,	MSE-V: 0.64,	SSIM-Y: 0.99308,	SSIM-U: 0.99390,	SSIM-V: 0.99438 ]	      5 bytes
Picture Number:   23	 QP:   22  [ PSNR-Y: 44.01 dB,	PSNR-U: 48.94 dB,	PSNR-V: 49.97 dB,	MSE-Y: 2.58,	MSE-U: 0.83,	MSE-V: 0.65,	SSIM-Y: 0.99287,	SSIM-U: 0.99399,	SSIM-V: 0.99425 ]	     25 bytes
Picture Number:   24	 QP:   16  [ PSNR-Y: 44.78 dB,	PSNR-U: 48.97 dB,	PSNR-V: 50.22 dB,	MSE-Y: 2.17,	MSE-U: 0.82,	MSE-V: 0.62,	SSIM-Y: 0.99320,	SSIM-U: 0.99393,	SSIM-V: 0.99455 ]	      5 bytes
Picture Number:   25	 QP:   22  [ PSNR-Y: 43.98 dB,	PSNR-U: 49.34 dB,	PSNR-V: 50.24 dB,	MSE-Y: 2.60,	MSE-U: 0.76,	MSE-V: 0.61,	SSIM-Y: 0.99276,	SSIM-U: 0.99424,	SSIM-V: 0.99443 ]	    399 bytes
Picture Number:   26	 QP:   21  [ PSNR-Y: 44.48 dB,	PSNR-U: 49.69 dB,	PSNR-V: 50.38 dB,	MSE-Y: 2.32,	MSE-U: 0.70,	MSE-V: 0.60,	SSIM-Y: 0.99314,	SSIM-U: 0.99445,	SSIM-V: 0.99458 ]	      5 bytes
Picture Number:   27	 QP:   22  [ PSNR-Y: 43.74 dB,	PSNR-U: 49.61 dB,	PSNR-V: 50.39 dB,	MSE-Y: 2.75,	MSE-U: 0.71,	MSE-V: 0.59,	SSIM-Y: 0.99285,	SSIM-U: 0.99462,	SSIM-V: 0.99457 ]	     41 bytes
Picture Number:   28	 QP:   19  [ PSNR-Y: 45.02 dB,	PSNR-U: 49.76 dB,	PSNR-V: 50.41 dB,	MSE-Y: 2.05,	MSE-U: 0.69,	MSE-V: 0.59,	SSIM-Y: 0.99373,	SSIM-U: 0.99448,	SSIM-V: 0.99462 ]	      5 bytes
Picture Number:   29	 QP:   22  [ PSNR-Y: 44.04 dB,	PSNR-U: 49.75 dB,	PSNR-V: 50.32 dB,	MSE-Y: 2.56,	MSE-U: 0.69,	MSE-V: 0.60,	SSIM-Y: 0.99356,	SSIM-U: 0.99455,	SSIM-V: 0.99458 ]	    187 bytes
